method,N,rmse_mean,rmse_std,mae_mean,mae_std,count,scale_factor
copy-empty,0,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,1,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,3,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,5,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,10,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,15,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,20,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,25,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,30,4.074665069580078,0.0,3.3497474193573,0.0,5,2
copy-empty,35,4.074665069580078,0.0,3.3497474193573,0.0,5,2
gp,0,42.881099700927734,0.0,42.55303192138672,0.0,5,2
gp,1,5.2978434562683105,0.0,4.3855743408203125,0.0,5,2
gp,3,5.516383647918701,0.0,4.666055202484131,0.0,5,2
gp,5,5.149260997772217,0.0,4.161703109741211,0.0,5,2
gp,10,3.753197193145752,0.0,3.050973892211914,0.0,5,2
gp,15,2.8101789951324463,0.0,2.218838930130005,0.0,5,2
gp,20,2.43506121635437,0.0,1.8458102941513062,0.0,5,2
gp,25,1.5854402780532837,0.0,1.083540439605713,0.0,5,2
gp,30,1.40435791015625,0.0,0.8549301028251648,0.0,5,2
gp,35,1.186063528060913,0.0,0.6547030806541443,0.0,5,2
worldmodel,0,3.809666156768799,2.384185791015625e-07,2.975252389907837,0.0,5,2
worldmodel,1,0.8093717694282532,0.02514217235147953,0.4809447228908539,0.02080979384481907,5,2
worldmodel,3,0.7881234288215637,0.021337611600756645,0.4755728840827942,0.017088869586586952,5,2
worldmodel,5,0.7856623530387878,0.04235176369547844,0.47886043787002563,0.0277387797832489,5,2
worldmodel,10,0.6433663368225098,0.009104877710342407,0.42222458124160767,0.014364834874868393,5,2
worldmodel,15,0.6425385475158691,0.022690314799547195,0.42571893334388733,0.011578702367842197,5,2
worldmodel,20,0.6433376669883728,0.014383736066520214,0.4333896040916443,0.009630580432713032,5,2
worldmodel,25,0.6282814145088196,0.020693954080343246,0.405261367559433,0.00954612996429205,5,2
worldmodel,30,0.6539939641952515,0.01932663656771183,0.4233173429965973,0.018603550270199776,5,2
worldmodel,35,0.6262024641036987,0.00817615631967783,0.411283403635025,0.004809185862541199,5,2
worldmodel-dream,0,3.809666156768799,2.384185791015625e-07,2.975252389907837,0.0,5,2
worldmodel-dream,1,0.7822602987289429,0.018689120188355446,0.4741780161857605,0.017644185572862625,5,2
worldmodel-dream,3,0.7823286056518555,0.018479736521840096,0.47271713614463806,0.0173257514834404,5,2
worldmodel-dream,5,0.8013525009155273,0.055703647434711456,0.4811879098415375,0.026562200859189034,5,2
worldmodel-dream,10,0.6901206374168396,0.06955302506685257,0.43311768770217896,0.02418796718120575,5,2
worldmodel-dream,15,0.7242631316184998,0.08941527456045151,0.46350598335266113,0.05003827065229416,5,2
worldmodel-dream,20,0.6813638806343079,0.08245342969894409,0.43615859746932983,0.028869139030575752,5,2
worldmodel-dream,25,0.6450843811035156,0.05403771251440048,0.41784897446632385,0.013202226720750332,5,2
worldmodel-dream,30,0.7110258936882019,0.038352541625499725,0.4491085112094879,0.023341525346040726,5,2
worldmodel-dream,35,0.6573212146759033,0.062225885689258575,0.4162193238735199,0.01876508630812168,5,2
