method,N,rmse_mean,rmse_std,mae_mean,mae_std,count,scale_factor
copy-empty,0,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,1,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,3,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,5,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,10,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,15,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,20,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,25,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,30,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
copy-empty,35,4.588977336883545,0.0,3.7550501823425293,2.384185791015625e-07,5,1
gp,0,42.91117858886719,0.0,42.55303192138672,0.0,5,1
gp,1,5.560105323791504,0.0,4.598484992980957,0.0,5,1
gp,3,5.1632609367370605,0.0,3.971844434738159,2.384185791015625e-07,5,1
gp,5,5.012120246887207,0.0,3.9225738048553467,0.0,5,1
gp,10,3.101478338241577,0.0,2.395986557006836,0.0,5,1
gp,15,2.3081793785095215,0.0,1.486484169960022,0.0,5,1
gp,20,2.2562761306762695,0.0,1.3716188669204712,0.0,5,1
gp,25,1.3333202600479126,0.0,0.9618897438049316,0.0,5,1
gp,30,1.2628422975540161,0.0,0.8780676126480103,5.960464477539063e-08,5,1
gp,35,1.097939133644104,0.0,0.7797300219535828,0.0,5,1
worldmodel,0,3.851989269256592,0.0,3.1581125259399414,0.0,5,1
worldmodel,1,0.5462605953216553,0.02312423288822174,0.410134881734848,0.015291377902030945,5,1
worldmodel,3,0.5494944453239441,0.03140280395746231,0.4051586985588074,0.02342238835990429,5,1
worldmodel,5,0.5174757242202759,0.009358235634863377,0.3855823576450348,0.00374175445176661,5,1
worldmodel,10,0.470844030380249,0.02139781415462494,0.3577161133289337,0.02919037640094757,5,1
worldmodel,15,0.4539739489555359,0.011229782365262508,0.34561416506767273,0.01345510222017765,5,1
worldmodel,20,0.47990864515304565,0.02598070353269577,0.3628833293914795,0.01988200657069683,5,1
worldmodel,25,0.47439688444137573,0.02034258469939232,0.35288822650909424,0.012721843086183071,5,1
worldmodel,30,0.48759809136390686,0.038731325417757034,0.3627844452857971,0.022193629294633865,5,1
worldmodel,35,0.45735159516334534,0.026042213663458824,0.3481733500957489,0.030376959592103958,5,1
worldmodel-dream,0,3.851989269256592,0.0,3.1581125259399414,0.0,5,1
worldmodel-dream,1,0.5532867908477783,0.02149989642202854,0.4054979681968689,0.020545434206724167,5,1
worldmodel-dream,3,0.5239384770393372,0.01691441237926483,0.38785138726234436,0.011240927502512932,5,1
worldmodel-dream,5,0.5106252431869507,0.03984898328781128,0.37566184997558594,0.025185860693454742,5,1
worldmodel-dream,10,0.4739656448364258,0.015653537586331367,0.3552761971950531,0.018935995176434517,5,1
worldmodel-dream,15,0.4607205390930176,0.02429439127445221,0.34555840492248535,0.016118401661515236,5,1
worldmodel-dream,20,0.4503946900367737,0.01815694384276867,0.32744407653808594,0.011781041510403156,5,1
worldmodel-dream,25,0.45336824655532837,0.022441338747739792,0.33862826228141785,0.016659770160913467,5,1
worldmodel-dream,30,0.4657435417175293,0.03625909611582756,0.3442144989967346,0.021892394870519638,5,1
worldmodel-dream,35,0.45253267884254456,0.020669683814048767,0.34156814217567444,0.00989458616822958,5,1
