method,N,rmse_mean,rmse_std,mae_mean,mae_std,count,scale_factor
copy-empty,0,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,1,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,3,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,5,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,10,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,15,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,20,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,25,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,30,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
copy-empty,35,4.1277055740356445,0.0,3.38023042678833,0.0,5,8
gp,0,42.88406753540039,0.0,42.55303192138672,0.0,5,8
gp,1,5.330697059631348,0.0,4.462363243103027,0.0,5,8
gp,3,5.608363151550293,0.0,4.757129669189453,0.0,5,8
gp,5,5.231595039367676,0.0,4.270641326904297,0.0,5,8
gp,10,4.048903942108154,0.0,3.3521857261657715,2.384185791015625e-07,5,8
gp,15,3.4678139686584473,2.384185791015625e-07,2.7494001388549805,0.0,5,8
gp,20,2.758923053741455,0.0,2.158696413040161,0.0,5,8
gp,25,2.3457813262939453,0.0,1.7849938869476318,1.1920928955078125e-07,5,8
gp,30,1.8138201236724854,1.1920928955078125e-07,1.2870241403579712,0.0,5,8
gp,35,1.682594895362854,0.0,1.0968866348266602,0.0,5,8
worldmodel,0,4.03140115737915,0.0,3.1461422443389893,0.0,5,8
worldmodel,1,1.4314548969268799,0.026335997506976128,1.0476772785186768,0.012153995223343372,5,8
worldmodel,3,1.4479467868804932,0.012426604516804218,1.0447977781295776,0.0051056621596217155,5,8
worldmodel,5,1.455981969833374,0.038197506219148636,1.046523928642273,0.016932092607021332,5,8
worldmodel,10,1.378455400466919,0.025297455489635468,0.9821516275405884,0.015216718427836895,5,8
worldmodel,15,1.3741042613983154,0.03328380361199379,0.9765303730964661,0.008488692343235016,5,8
worldmodel,20,1.3398423194885254,0.028005413711071014,0.9502363204956055,0.01704585738480091,5,8
worldmodel,25,1.347556233406067,0.021199118345975876,0.9519225358963013,0.015613440424203873,5,8
worldmodel,30,1.3227388858795166,0.020179273560643196,0.9356034994125366,0.009797215461730957,5,8
worldmodel,35,1.3006904125213623,0.03320375084877014,0.9234638214111328,0.025214239954948425,5,8
worldmodel-dream,0,4.03140115737915,0.0,3.1461422443389893,0.0,5,8
worldmodel-dream,1,1.4507319927215576,0.039665915071964264,1.0484049320220947,0.019592948257923126,5,8
worldmodel-dream,3,1.4289988279342651,0.033218562602996826,1.0269638299942017,0.013597380369901657,5,8
worldmodel-dream,5,1.4143600463867188,0.02219233289361,1.0101686716079712,0.006076226942241192,5,8
worldmodel-dream,10,1.376163125038147,0.03505276143550873,0.9860731959342957,0.02063574455678463,5,8
worldmodel-dream,15,1.3446385860443115,0.050272516906261444,0.955226719379425,0.034095242619514465,5,8
worldmodel-dream,20,1.3108991384506226,0.03831466659903526,0.9292236566543579,0.02130294404923916,5,8
worldmodel-dream,25,1.3210093975067139,0.04504071921110153,0.9291232228279114,0.01811082474887371,5,8
worldmodel-dream,30,1.2935892343521118,0.058164529502391815,0.9136220216751099,0.030647195875644684,5,8
worldmodel-dream,35,1.2781498432159424,0.043059322983026505,0.8906885385513306,0.027475718408823013,5,8
