method,N,rmse_mean,rmse_std,mae_mean,mae_std,count,scale_factor
copy-empty,0,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,1,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,3,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,5,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,10,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,15,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,20,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,25,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,30,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
copy-empty,35,4.130361557006836,0.0,3.3821091651916504,0.0,5,16
gp,0,42.88421630859375,0.0,42.55303192138672,0.0,5,16
gp,1,5.339144706726074,0.0,4.476319313049316,0.0,5,16
gp,3,5.62088680267334,0.0,4.769792079925537,0.0,5,16
gp,5,5.23953914642334,0.0,4.283351898193359,0.0,5,16
gp,10,4.1893134117126465,0.0,3.4641995429992676,2.384185791015625e-07,5,16
gp,15,3.581401824951172,0.0,2.881112813949585,0.0,5,16
gp,20,3.407327175140381,2.384185791015625e-07,2.626650333404541,0.0,5,16
gp,25,2.2729310989379883,0.0,1.7972166538238525,0.0,5,16
gp,30,2.073248863220215,0.0,1.4886428117752075,0.0,5,16
gp,35,1.6678202152252197,1.1920928955078125e-07,1.2012826204299927,0.0,5,16
worldmodel,0,4.454716682434082,0.0,3.4870762825012207,2.384185791015625e-07,5,16
worldmodel,1,1.8545020818710327,0.009123275987803936,1.3454216718673706,0.010284040123224258,5,16
worldmodel,3,1.850034475326538,0.007623436860740185,1.3465163707733154,0.006579691544175148,5,16
worldmodel,5,1.8477363586425781,0.00497811334207654,1.3431065082550049,0.003284262726083398,5,16
worldmodel,10,1.8370307683944702,0.006291572004556656,1.336111307144165,0.006706202868372202,5,16
worldmodel,15,1.8208976984024048,0.005777887534350157,1.3175548315048218,0.005900566000491381,5,16
worldmodel,20,1.8134708404541016,0.01452519278973341,1.314893126487732,0.01149442046880722,5,16
worldmodel,25,1.795156478881836,0.00341694219969213,1.2968614101409912,0.0071524060331285,5,16
worldmodel,30,1.7924667596817017,0.005254480522125959,1.2926784753799438,0.004276857245713472,5,16
worldmodel,35,1.77328360080719,0.010352108627557755,1.284484624862671,0.011608927510678768,5,16
worldmodel-dream,0,4.454716682434082,0.0,3.4870762825012207,2.384185791015625e-07,5,16
worldmodel-dream,1,1.851750135421753,0.01162888202816248,1.3481019735336304,0.007372763939201832,5,16
worldmodel-dream,3,1.8371508121490479,0.007022047881036997,1.3300096988677979,0.00509652029722929,5,16
worldmodel-dream,5,1.8458220958709717,0.015199100598692894,1.3361451625823975,0.008077616803348064,5,16
worldmodel-dream,10,1.8236656188964844,0.014915157109498978,1.320327639579773,0.013825434260070324,5,16
worldmodel-dream,15,1.8293044567108154,0.012139730155467987,1.3217755556106567,0.004086771979928017,5,16
worldmodel-dream,20,1.8060064315795898,0.02002343349158764,1.3073046207427979,0.012245822697877884,5,16
worldmodel-dream,25,1.7952133417129517,0.016970349475741386,1.2953630685806274,0.0068136840127408504,5,16
worldmodel-dream,30,1.7890710830688477,0.021781286224722862,1.293666958808899,0.01706397719681263,5,16
worldmodel-dream,35,1.7850351333618164,0.021614927798509598,1.2886295318603516,0.01588885672390461,5,16
